KALSHI_ID,TIMESTAMP,end_period_ts,open_interest,volume,price_close,price_high,price_low,price_mean,price_open
KXNBAGAME-26FEB22DALIND-IND,2026-02-22 17:00:00+00:00,1771779600,44161.0,11932.0,0.47,0.47,0.46,0.4696,0.47
KXNBAGAME-26FEB22PORPHX-PHX,2026-02-22 20:00:00+00:00,1771790400,89240.0,2974.0,0.43,0.43,0.42,0.4293,0.42
KXNBAGAME-26FEB22CLEOKC-OKC,2026-02-22 13:00:00+00:00,1771765200,226227.0,28457.0,0.4,0.41,0.38,0.4013,0.41
KXNBAGAME-26FEB22BKNATL-ATL,2026-02-22 15:00:00+00:00,1771772400,47747.0,5824.0,0.8,0.8,0.8,0.8,0.8
KXNBAGAME-26FEB22NYKCHI-CHI,2026-02-22 20:00:00+00:00,1771790400,39400.0,2388.0,0.21,0.21,0.19,0.2056,0.21
KXNBAGAME-26FEB22DENGSW-GSW,2026-02-22 15:00:00+00:00,1771772400,47296.0,3160.0,0.31,0.32,0.31,0.3157,0.32
KXNBAGAME-26FEB22ORLLAC-LAC,2026-02-22 21:00:00+00:00,1771794000,48534.0,5260.0,0.54,0.55,0.53,0.5454,0.55
KXNBAGAME-26FEB22BOSLAL-LAL,2026-02-22 18:00:00+00:00,1771783200,276522.0,77625.0,0.48,0.48,0.47,0.48,0.48
KXNBAGAME-26FEB22CHAWAS-WAS,2026-02-22 18:00:00+00:00,1771783200,38619.0,4056.0,0.17,0.17,0.16,0.17,0.17
KXNBAGAME-26FEB23UTAHOU-HOU,2026-02-23 21:00:00+00:00,1771880400,291883.0,72120.0,0.87,0.87,0.86,0.87,0.87
KXNBAGAME-26FEB23SACMEM-MEM,2026-02-23 20:00:00+00:00,1771876800,298337.0,35680.0,0.58,0.59,0.57,0.5875,0.57
KXNBAGAME-26FEB23SASDET-DET,2026-02-23 19:00:00+00:00,1771873200,498064.0,38250.0,0.53,0.53,0.52,0.5296,0.53
KXNBAGAME-26FEB24MIAMIL-MIL,2026-02-24 20:00:00+00:00,1771963200,38004.0,2769.0,0.33,0.33,0.31,0.3233,0.32
KXNBAGAME-26FEB24DALBKN-BKN,2026-02-24 19:00:00+00:00,1771959600,23289.0,2084.0,0.47,0.47,0.45,0.4686,0.47
KXNBAGAME-26FEB24PHIIND-IND,2026-02-24 19:00:00+00:00,1771959600,108885.0,6649.0,0.21,0.21,0.2,0.2095,0.2
KXNBAGAME-26FEB24BOSPHX-PHX,2026-02-24 21:00:00+00:00,1771966800,140030.0,8957.0,0.34,0.34,0.33,0.3399,0.34
KXNBAGAME-26FEB24MINPOR-POR,2026-02-24 22:00:00+00:00,1771970400,33871.0,1633.0,0.31,0.31,0.3,0.3082,0.31
KXNBAGAME-26FEB24WASATL-ATL,2026-02-24 19:00:00+00:00,1771959600,68603.0,1791.0,0.87,0.87,0.85,0.8626,0.87
KXNBAGAME-26FEB24NYKCLE-CLE,2026-02-24 19:00:00+00:00,1771959600,212726.0,35310.0,0.61,0.62,0.6,0.6106,0.62
KXNBAGAME-26FEB24GSWNOP-NOP,2026-02-24 20:00:00+00:00,1771963200,81710.0,3465.0,0.48,0.48,0.47,0.479,0.48
KXNBAGAME-26FEB24CHACHI-CHI,2026-02-24 20:00:00+00:00,1771963200,125357.0,15405.0,0.26,0.26,0.26,0.26,0.26
KXNBAGAME-26FEB24ORLLAL-LAL,2026-02-24 22:00:00+00:00,1771970400,193963.0,28022.0,0.66,0.66,0.64,0.6501,0.65
KXNBAGAME-26FEB24OKCTOR-TOR,2026-02-24 19:00:00+00:00,1771959600,365902.0,38249.0,0.53,0.54,0.52,0.5301,0.54
KXNBAGAME-26FEB25CLEMIL-MIL,2026-02-25 20:00:00+00:00,1772049600,173068.0,130929.0,0.42,0.43,0.24,0.283,0.25
KXNBAGAME-26FEB25BOSDEN-DEN,2026-02-25 22:00:00+00:00,1772056800,192753.0,59012.0,0.59,0.59,0.57,0.5773,0.58
KXNBAGAME-26FEB25SACHOU-HOU,2026-02-25 20:00:00+00:00,1772049600,282565.0,43232.0,0.88,0.88,0.87,0.8799,0.88
KXNBAGAME-26FEB25SASTOR-TOR,2026-02-25 19:00:00+00:00,1772046000,78511.0,10290.0,0.3,0.3,0.27,0.283,0.28
KXNBAGAME-26FEB25GSWMEM-MEM,2026-02-25 19:00:00+00:00,1772046000,32631.0,7877.0,0.37,0.39,0.36,0.3695,0.39
KXNBAGAME-26FEB25OKCDET-DET,2026-02-25 19:00:00+00:00,1772046000,263897.0,85524.0,0.78,0.78,0.72,0.7692,0.74
KXNBAGAME-26FEB26SASBKN-BKN,2026-02-26 19:00:00+00:00,1772132400,61043.0,3430.0,0.18,0.19,0.14,0.1764,0.16
KXNBAGAME-26FEB26HOUORL-ORL,2026-02-26 19:00:00+00:00,1772132400,75771.0,6064.0,0.43,0.44,0.42,0.4292,0.44
KXNBAGAME-26FEB26CHAIND-IND,2026-02-26 19:00:00+00:00,1772132400,270451.0,17800.0,0.15,0.15,0.13,0.1489,0.15
KXNBAGAME-26FEB26MIAPHI-PHI,2026-02-26 19:00:00+00:00,1772132400,527189.0,47052.0,0.59,0.6,0.58,0.5995,0.59
KXNBAGAME-26FEB26LALPHX-PHX,2026-02-26 21:00:00+00:00,1772139600,66485.0,2992.0,0.35,0.35,0.34,0.3493,0.35
KXNBAGAME-26FEB26WASATL-ATL,2026-02-26 19:00:00+00:00,1772132400,64357.0,32307.0,0.8,0.82,0.79,0.7922,0.82
KXNBAGAME-26FEB26PORCHI-CHI,2026-02-26 20:00:00+00:00,1772136000,32759.0,8336.0,0.39,0.39,0.37,0.3877,0.38
KXNBAGAME-26FEB26SACDAL-DAL,2026-02-26 20:00:00+00:00,1772136000,41168.0,10437.0,0.73,0.73,0.71,0.7283,0.71
KXNBAGAME-26FEB26MINLAC-LAC,2026-02-26 22:00:00+00:00,1772143200,75426.0,13298.0,0.27,0.27,0.25,0.265,0.27
KXNBAGAME-26FEB26NOPUTA-UTA,2026-02-26 21:00:00+00:00,1772139600,27089.0,6447.0,0.31,0.31,0.3,0.3095,0.31
KXNBAGAME-26FEB27NYKMIL-MIL,2026-02-27 20:00:00+00:00,1772222400,174476.0,28418.0,0.26,0.26,0.25,0.26,0.26
KXNBAGAME-26FEB27DENOKC-OKC,2026-02-27 21:00:00+00:00,1772226000,175982.0,18246.0,0.74,0.74,0.73,0.7377,0.74
KXNBAGAME-26FEB27BKNBOS-BOS,2026-02-27 19:00:00+00:00,1772218800,307668.0,10584.0,0.92,0.92,0.91,0.9196,0.92
KXNBAGAME-26FEB27MEMDAL-DAL,2026-02-27 20:00:00+00:00,1772222400,80680.0,6262.0,0.63,0.63,0.61,0.629,0.61
KXNBAGAME-26FEB27CLEDET-DET,2026-02-27 19:00:00+00:00,1772218800,556665.0,36464.0,0.69,0.7,0.68,0.6896,0.7
KXNBAGAME-26FEB28LALGSW-GSW,2026-02-28 20:00:00+00:00,1772308800,122357.0,10584.0,0.4,0.4,0.39,0.3994,0.4
KXNBAGAME-26FEB28HOUMIA-MIA,2026-02-28 15:00:00+00:00,1772290800,147681.0,7029.0,0.43,0.44,0.42,0.4357,0.44
KXNBAGAME-26FEB28NOPUTA-UTA,2026-02-28 21:00:00+00:00,1772312400,73292.0,6317.0,0.32,0.32,0.31,0.3193,0.32
KXNBAGAME-26FEB28TORWAS-WAS,2026-02-28 19:00:00+00:00,1772305200,87762.0,15263.0,0.13,0.13,0.12,0.1297,0.13
KXNBAGAME-26FEB28PORCHA-CHA,2026-02-28 13:00:00+00:00,1772283600,215485.0,16877.0,0.75,0.75,0.74,0.7499,0.75
KXNBAGAME-26MAR01CLEBKN-BKN,2026-03-01 15:00:00+00:00,1772377200,86783.0,1471.0,0.18,0.18,0.16,0.1799,0.18
KXNBAGAME-26MAR01SASNYK-NYK,2026-03-01 13:00:00+00:00,1772370000,262442.0,68579.0,0.49,0.49,0.47,0.4819,0.48
KXNBAGAME-26MAR01DETORL-ORL,2026-03-01 18:00:00+00:00,1772388000,71018.0,3328.0,0.35,0.35,0.34,0.3493,0.35
KXNBAGAME-26MAR01MEMIND-IND,2026-03-01 17:00:00+00:00,1772384400,10200.0,2027.0,0.52,0.52,0.51,0.5191,0.52
